Item ID,Item Name,SKU,UPC,MPN,EAN,ISBN,Is Returnable Item,Brand,Manufacturer,Description,Rate,Account,Account Code,Package Weight,Package Length,Package Width,Package Height,Dimension Unit,Weight Unit,Is Receivable Service,Product Type,Source,Reference ID,Last Sync Time,Status,Usage unit,Unit Name,Purchase Rate,Purchase Account,Purchase Account Code,Purchase Description,Inventory Account,Inventory Account Code,Inventory Valuation Method,Reorder Point,Vendor,Warehouse Name,Opening Stock,Opening Stock Value,Stock On Hand,Item Type,Sellable,Purchasable,Track Inventory,CF.For Customer,CF.Estimated Production Date,CF.Lot Number,CF.PO Number,CF.Back Ordered,CF.Backend,CF.Reason To Withhold
2592134000010968168,FYB2 (NM_001004303) Human Over-expression Lysate,LS199920,,,,,false,,,FYB2 Human Over-expression Lysates,USD 960.00,Sales,,0,0,0,0,,,,goods,2,,,Active,100 ug,100 ug,USD 532.80,Cost of Goods Sold,,"Origene LY424080, Cost: 532.80.",Inventory Asset,,fifo,,Origene Inc,,,,0,Inventory,true,true,true,,,,,,,
2592134000010968177,TMEM201 (NM_001010866) Human Over-expression Lysate,LS199953,,,,,false,,,TMEM201 Human Over-expression Lysates,USD 628.00,Sales,,0,0,0,0,,,,goods,2,,,Active,100 ug,100 ug,USD 348.80,Cost of Goods Sold,,"Origene LY423194, Cost: 348.80.",Inventory Asset,,fifo,,Origene Inc,,,,0,Inventory,true,true,true,,,,,,,
2592134000010968186,TMEM61 (NM_182532) Human Over-expression Lysate,LS199964,,,,,false,,,TMEM61 Human Over-expression Lysates,USD 628.00,Sales,,0,0,0,0,,,,goods,2,,,Active,100 ug,100 ug,USD 348.80,Cost of Goods Sold,,"Origene LY405509, Cost: 348.80.",Inventory Asset,,fifo,,Origene Inc,,,,0,Inventory,true,true,true,,,,,,,
2592134000010968195,CYP4Z1 (NM_178134) Human Over-expression Lysate,LS199974,,,,,false,,,CYP4Z1 Human Over-expression Lysates,USD 960.00,Sales,,0,0,0,0,,,,goods,2,,,Active,100 ug,100 ug,USD 532.80,Cost of Goods Sold,,"Origene LY405940, Cost: 532.80.",Inventory Asset,,fifo,,Origene Inc,,,,0,Inventory,true,true,true,,,,,,,
2592134000010968204,C1orf86 (FAAP20) (NM_182533) Human Over-expression Lysate,LS199990,,,,,false,,,C1orf86 (FAAP20) Human Over-expression Lysates,USD 628.00,Sales,,0,0,0,0,,,,goods,2,,,Active,100 ug,100 ug,USD 348.80,Cost of Goods Sold,,"Origene LY405510, Cost: 348.80.",Inventory Asset,,fifo,,Origene Inc,,,,0,Inventory,true,true,true,,,,,,,
2592134000010968213,CDCP2 (NM_201546) Human Over-expression Lysate,LS200008,,,,,false,,,CDCP2 Human Over-expression Lysates,USD 960.00,Sales,,0,0,0,0,,,,goods,2,,,Active,100 ug,100 ug,USD 532.80,Cost of Goods Sold,,"Origene LY404453, Cost: 532.80.",Inventory Asset,,fifo,,Origene Inc,,,,0,Inventory,true,true,true,,,,,,,
2592134000010968222,CC2D1B (NM_032449) Human Over-expression Lysate,LS200014,,,,,false,,,CC2D1B Human Over-expression Lysates,USD 960.00,Sales,,0,0,0,0,,,,goods,2,,,Active,100 ug,100 ug,USD 532.80,Cost of Goods Sold,,"Origene LY403187, Cost: 532.80.",Inventory Asset,,fifo,,Origene Inc,,,,0,Inventory,true,true,true,,,,,,,
2592134000010968231,NUDT17 (NM_001012758) Human Over-expression Lysate,LS200035,,,,,false,,,NUDT17 Human Over-expression Lysates,USD 628.00,Sales,,0,0,0,0,,,,goods,2,,,Active,100 ug,100 ug,USD 348.80,Cost of Goods Sold,,"Origene LY422833, Cost: 348.80.",Inventory Asset,,fifo,,Origene Inc,,,,0,Inventory,true,true,true,,,,,,,
2592134000010968240,Alpha Taxilin (TXLNA) (NM_175852) Human Over-expression Lysate,LS200081,,,,,false,,,Alpha Taxilin (TXLNA) Human Over-expression Lysates,USD 628.00,Sales,,0,0,0,0,,,,goods,2,,,Active,100 ug,100 ug,USD 348.80,Cost of Goods Sold,,"Origene LY406231, Cost: 348.80.",Inventory Asset,,fifo,,Origene Inc,,,,0,Inventory,true,true,true,,,,,,,
2592134000010968249,DYNLT5 (NM_152665) Human Over-expression Lysate,LS200132,,,,,false,,,TCTEX1D1 Human Over-expression Lysates,USD 628.00,Sales,,0,0,0,0,,,,goods,2,,,Active,100 ug,100 ug,USD 348.80,Cost of Goods Sold,,"Origene LY407386, Cost: 348.80.",Inventory Asset,,fifo,,Origene Inc,,,,0,Inventory,true,true,true,,,,,,,
